Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
125,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,29-085,1994,13.1,207,1449,691,29,12,16,26,14,227,87,Matches
126,Marco Asensio,es ESP,"FW,MF",Paris S-G,fr Ligue 1,28-013,1996,4.9,233,1362,544,16,15,4,6,5,222,40,Matches
127,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21-331,2002,2.8,147,532,197,0,1,0,1,2,166,3,Matches
128,Joel Asoro,se SWE,FW,Metz,fr Ligue 1,24-282,1999,8,150,1061,386,11,12,0,24,15,142,34,Matches
129,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,36-186,1987,17.5,532,2698,1275,40,35,11,28,15,611,114,Matches
130,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,23-226,2000,11.2,489,2754,1380,28,19,7,13,5,431,67,Matches
131,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,27-262,1996,4,220,1488,701,9,14,1,5,3,193,5,Matches
132,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,18-162,2005,2.3,66,419,154,2,4,0,3,1,51,3,Matches
133,Arthur Atta,fr FRA,MF,Metz,fr Ligue 1,21-020,2003,1.4,57,312,125,4,3,1,2,3,56,3,Matches
134,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21-254,2002,19,492,2762,1517,0,0,0,1,0,421,0,Matches
135,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,34-230,1989,15.4,354,1984,840,32,15,18,17,13,336,108,Matches
136,Tommaso Augello,it ITA,DF,Cagliari,it Serie A,29-157,1994,14.6,422,2445,1333,42,25,0,11,5,467,59,Matches
137,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,23-066,2000,4.3,243,1329,810,11,11,0,2,2,283,10,Matches
138,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,eng Premier League,31-041,1992,9.3,249,1039,532,10,15,1,9,8,347,29,Matches
139,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,29-362,1994,9.6,236,1037,429,14,16,5,12,1,314,75,Matches
140,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,26-175,1997,7.9,112,535,216,6,6,4,27,9,145,27,Matches
141,André Ayew,gh GHA,"MF,FW",Le Havre,fr Ligue 1,34-048,1989,0.6,23,145,48,0,1,0,4,2,24,3,Matches
142,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,32-145,1991,18.2,589,3972,1606,55,43,14,62,57,657,123,Matches
143,Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,22-216,2001,8.1,309,1758,632,13,14,1,15,9,278,22,Matches
144,Sardar Azmoun,ir IRN,"FW,MF",Roma,it Serie A,29-033,1995,2.7,66,276,51,0,4,0,6,4,79,18,Matches
145,César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,34-159,1989,10.6,455,2403,1543,25,18,3,7,5,524,29,Matches
146,Paulo Azzi,br BRA,"DF,MF",Cagliari,it Serie A,29-203,1994,8.1,240,1693,1053,32,31,3,10,5,261,32,Matches
147,Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,22-250,2001,2.2,112,500,202,2,1,0,1,1,125,6,Matches
148,Abdellah Baallal,ma MAR,MF,Clermont Foot,fr Ligue 1,19-088,2004,0,3,17,6,0,0,0,0,0,2,0,Matches
149,Iddrisu Baba,gh GHA,MF,Almería,es La Liga,28-012,1996,10.8,340,1543,598,1,3,0,10,6,355,4,Matches
150,Srđan Babić,rs SRB,DF,Almería,es La Liga,27-287,1996,1,44,285,199,1,1,0,0,0,49,0,Matches
151,Shavy Babicka,ga GAB,FW,Toulouse,fr Ligue 1,23-247,2000,0.7,12,115,55,3,1,3,0,0,14,9,Matches
152,Aliou Badara Baldé,sn SEN,FW,Nice,fr Ligue 1,21-053,2002,0.5,12,148,36,1,2,0,1,0,7,1,Matches
153,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,23-298,2000,12.1,395,2204,1165,5,3,1,4,2,454,0,Matches
154,Milan Badelj,hr CRO,MF,Genoa,it Serie A,34-343,1989,15.5,476,1869,823,9,7,1,14,8,550,12,Matches
155,Matthias Bader,de GER,"DF,MF",Darmstadt 98,de Bundesliga,26-231,1997,12.3,403,2264,1136,22,18,3,23,6,418,46,Matches
156,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,22-314,2001,6.1,300,1279,736,0,2,0,1,3,376,1,Matches
157,Alex Baena,es ESP,"MF,FW",Villarreal,es La Liga,22-198,2001,15.6,527,2904,1422,42,36,12,37,15,618,80,Matches
158,Jaime Báez,uy URU,"FW,MF",Frosinone,it Serie A,28-284,1995,5.5,142,888,429,12,6,2,11,11,172,39,Matches
159,Leon Bailey,jm JAM,"MF,FW",Aston Villa,eng Premier League,26-178,1997,10.6,365,2746,1273,57,24,23,21,24,397,125,Matches
160,Eric Bailly,ci CIV,DF,Villarreal,es La Liga,29-297,1994,3.8,95,705,365,3,2,0,3,1,115,1,Matches
161,Nedim Bajrami,al ALB,"MF,FW",Sassuolo,it Serie A,24-340,1999,7.7,176,1539,764,23,11,4,12,7,200,34,Matches
162,Tiemoué Bakayoko,fr FRA,MF,Lorient,fr Ligue 1,29-170,1994,5.4,191,1015,317,2,2,0,10,6,171,6,Matches
163,Mitchel Bakker,nl NED,DF,Atalanta,it Serie A,23-228,2000,2.5,86,523,270,9,5,2,6,3,92,12,Matches
164,Ridle Baku,de GER,"DF,MF",Wolfsburg,de Bundesliga,25-301,1998,10.5,358,1782,835,14,16,2,24,10,415,68,Matches
165,Dilane Bakwa,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,21-161,2002,13.1,407,2871,1415,44,38,12,28,25,379,100,Matches
