Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,GCA,GCA90
164,Ridle Baku,de GER,"DF,MF",Wolfsburg,de Bundesliga,25-301,1998,10.5,27,2.57,1,0.1
165,Dilane Bakwa,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,21-161,2002,13.1,44,3.35,1,0.08
166,Tommaso Baldanzi,it ITA,"MF,FW",Empoli,it Serie A,20-317,2003,8.3,36,4.35,2,0.24
167,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,20-108,2003,15.3,29,1.9,4,0.26
168,George Baldock,gr GRE,DF,Sheffield Utd,eng Premier League,30-331,1993,9.3,13,1.4,2,0.22
169,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,20-031,2004,6.5,8,1.23,0,0
170,Carlos Baleba,cm CMR,MF,Lille,fr Ligue 1,20-031,2004,0.7,0,0,0,0
171,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,25-008,1999,12.4,7,0.56,1,0.08
172,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,32-033,1992,18.1,31,1.71,2,0.11
173,Fodé Ballo-Touré,sn SEN,DF,Fulham,eng Premier League,27-031,1997,0.6,0,0,0,0
174,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,22-215,2001,10.5,37,3.52,5,0.48
175,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,es La Liga,27-314,1996,15.6,63,4.02,3,0.19
176,Muhamad Bamba,ci CIV,MF,Lorient,fr Ligue 1,22-055,2001,0.2,,,,
177,Samuel Bamba,de GER,FW,Dortmund,de Bundesliga,19-355,2004,0.5,2,3.83,0,0
178,Lameck Banda,zm ZAM,FW,Lecce,it Serie A,23-005,2001,11.9,54,4.55,3,0.25
179,Daniel Bandeira,pt POR,MF,Hellas Verona,it Serie A,23-298,2000,0.1,0,0,0,0
180,Mamady Bangré,bf BFA,"FW,MF",Toulouse,fr Ligue 1,22-233,2001,1.1,7,6.24,1,0.89
181,Mattia Bani,it ITA,DF,Genoa,it Serie A,30-055,1993,15.7,4,0.25,0,0
182,Léo Baptistão,br BRA,FW,Almería,es La Liga,31-161,1992,12,18,1.49,1,0.08
183,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,25-301,1998,2.3,3,1.27,0,0
184,Antonín Barák,cz CZE,MF,Fiorentina,it Serie A,29-062,1994,2.6,8,3.1,0,0
185,Francisco Barbosa,es ESP,GK,Betis,es La Liga,24-272,1999,2.5,0,0,0,0
186,Bradley Barcola,fr FRA,FW,Lyon,fr Ligue 1,21-154,2002,3,5,1.67,0,0
187,Bradley Barcola,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,21-154,2002,8.7,45,5.15,5,0.57
188,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,23-089,2000,17.7,33,1.86,3,0.17
189,Nicolò Barella,it ITA,MF,Inter,it Serie A,26-361,1997,17.1,75,4.37,12,0.7
190,Kike Barja,es ESP,"FW,MF",Osasuna,es La Liga,26-308,1997,2.9,11,3.82,1,0.35
191,Ross Barkley,eng ENG,MF,Luton Town,eng Premier League,30-060,1993,13.8,48,3.47,6,0.43
192,Aymen Barkok,ma MAR,"MF,FW",Mainz 05,de Bundesliga,25-258,1998,3.6,15,4.21,1,0.28
193,Harvey Barnes,eng ENG,FW,Newcastle Utd,eng Premier League,26-056,1997,2.1,6,2.89,1,0.48
194,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,24-031,2000,15,30,2,2,0.13
195,Enzo Barrenechea,ar ARG,MF,Frosinone,it Serie A,22-257,2001,19,27,1.42,1,0.05
196,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,es La Liga,22-038,2001,9.9,25,2.53,3,0.3
197,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,20-233,2003,9,23,2.55,2,0.22
198,Davide Bartesaghi,it ITA,"DF,MF",Milan,it Serie A,18-036,2005,0.8,0,0,0,0
199,Marc Bartra,es ESP,DF,Betis,es La Liga,33-019,1991,2.5,3,1.2,1,0.4
200,Federico Baschirotto,it ITA,DF,Lecce,it Serie A,27-136,1996,21.6,15,0.69,1,0.05
201,Steven Baseya,fr FRA,DF,Strasbourg,fr Ligue 1,19-020,2005,0.1,0,0,0,0
202,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,eng Premier League,35-198,1988,3.6,3,0.84,0,0
203,Toma Bašić,hr CRO,MF,Salernitana,it Serie A,27-070,1996,1.4,2,1.41,0,0
204,Calvin Bassey,ng NGA,DF,Fulham,eng Premier League,24-034,1999,12.4,4,0.32,0,0
205,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,24-296,1999,14.4,40,2.78,1,0.07
206,Simone Bastoni,it ITA,"DF,MF",Empoli,it Serie A,27-090,1996,3.9,12,3.05,0,0
207,Augusto Batalla,ar ARG,GK,Granada,es La Liga,27-279,1996,4,0,0,0,0
208,Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,33-022,1991,4,0,0,0,0
209,Maximilian Bauer,de GER,DF,Augsburg,de Bundesliga,23-359,2000,5.5,3,0.55,0,0
210,Elias Baum,de GER,"MF,DF",Eint Frankfurt,de Bundesliga,18-100,2005,0.2,0,0,0,0
