Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,GCA,GCA90
2012,Fabian Rieder,ch SUI,MF,Rennes,fr Ligue 1,21-352,2002,2.8,6,2.13,0,0
2013,Jaïro Riedewald,nl NED,"MF,FW",Crystal Palace,eng Premier League,27-147,1996,2,0,0,0,0
2014,Manuel Riemann,de GER,GK,Bochum,de Bundesliga,35-147,1988,19,21,1.11,3,0.16
2015,Luis Rioja,es ESP,"FW,MF",Alavés,es La Liga,30-110,1993,19.3,59,3.05,5,0.26
2016,Rémy Riou,fr FRA,GK,Lyon,fr Ligue 1,36-181,1987,3,0,0,0,0
2017,Rodrigo Riquelme,es ESP,"DF,MF",Atlético Madrid,es La Liga,23-307,2000,9.7,39,4.02,7,0.72
2018,Mihailo Ristić,rs SRB,"DF,MF",Celta Vigo,es La Liga,28-095,1995,5.8,13,2.23,0,0
2019,Matt Ritchie,sct SCO,FW,Newcastle Utd,eng Premier League,34-146,1989,1.2,2,1.67,1,0.83
2020,Gorka Rivera Alonso,es ESP,DF,Getafe,es La Liga,19-186,2004,0,0,0,0,0
2021,Sergi Roberto,es ESP,"MF,DF",Barcelona,es La Liga,31-361,1992,4,7,1.76,1,0.25
2022,Lucas Robertone,ar ARG,MF,Almería,es La Liga,26-322,1997,14.6,52,3.56,5,0.34
2023,Connor Roberts,wls WAL,DF,Burnley,eng Premier League,28-133,1995,9.1,18,1.97,3,0.33
2024,Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,29-329,1994,8.2,28,3.4,2,0.24
2025,Antonee Robinson,us USA,DF,Fulham,eng Premier League,26-179,1997,20.4,39,1.91,3,0.15
2026,Jack Robinson,eng ENG,DF,Sheffield Utd,eng Premier League,30-155,1993,20.3,10,0.49,1,0.05
2027,Marc Roca,es ESP,MF,Betis,es La Liga,27-069,1996,17.8,52,2.92,3,0.17
2028,Sebastian Rode,de GER,MF,Eint Frankfurt,de Bundesliga,33-115,1990,0.4,1,2.65,0,0
2029,Rodri,es ESP,MF,Manchester City,eng Premier League,27-226,1996,17.1,79,4.63,11,0.64
2030,Rodri,es ESP,"FW,MF",Betis,es La Liga,23-263,2000,7.3,23,3.17,0,0
2031,Óscar Rodríguez Arnaiz,es ESP,"MF,FW",Getafe,es La Liga,25-220,1998,3.5,20,5.7,2,0.57
2032,Dani Rodríguez,es ESP,"MF,FW",Mallorca,es La Liga,35-242,1988,19,65,3.42,6,0.32
2033,Guido Rodríguez,ar ARG,MF,Betis,es La Liga,29-297,1994,11.9,13,1.09,4,0.33
2034,Jay Rodriguez,eng ENG,FW,Burnley,eng Premier League,34-189,1989,7.8,11,1.41,1,0.13
2035,Kirian Rodríguez,es ESP,MF,Las Palmas,es La Liga,27-335,1996,19.7,46,2.34,5,0.25
2036,Miguel Rodríguez,es ESP,MF,Celta Vigo,es La Liga,20-280,2003,2.1,5,2.36,0,0
2037,Ricardo Rodríguez,ch SUI,DF,Torino,it Serie A,31-162,1992,19.9,21,1.05,2,0.1
2038,Rodrygo,br BRA,FW,Real Madrid,es La Liga,23-025,2001,17.2,77,4.49,11,0.64
2039,Mads Roerslev,dk DEN,DF,Brentford,eng Premier League,24-224,1999,10,18,1.8,3,0.3
2040,Rogério,br BRA,"DF,MF",Wolfsburg,de Bundesliga,26-021,1998,8.1,14,1.72,1,0.12
2041,Merlin Röhl,de GER,"MF,FW",Freiburg,de Bundesliga,21-213,2002,11.3,27,2.4,6,0.53
2042,Alessio Romagnoli,it ITA,DF,Lazio,it Serie A,29-022,1995,13.8,7,0.51,1,0.07
2043,Simone Romagnoli,it ITA,DF,Frosinone,it Serie A,33-359,1990,16.9,5,0.3,1,0.06
2044,Carlos Romero,es ESP,DF,Villarreal,es La Liga,22-097,2001,2.7,1,0.38,1,0.38
2045,Cristian Romero,ar ARG,DF,Tottenham,eng Premier League,25-282,1998,15,21,1.4,1,0.07
2046,Luka Romero,ar ARG,"FW,MF",Milan,it Serie A,19-077,2004,1,2,2.02,0,0
2047,Luka Romero,ar ARG,FW,Almería,es La Liga,19-077,2004,0.1,0,0,0,0
2048,Oriol Romeu,es ESP,MF,Barcelona,es La Liga,32-132,1991,7.9,14,1.76,1,0.13
2049,Valentin Rongier,fr FRA,MF,Marseille,fr Ligue 1,29-058,1994,9.5,28,2.96,1,0.11
2050,Frank Ronstadt,de GER,"DF,MF",Darmstadt 98,de Bundesliga,26-197,1997,0.8,3,3.55,0,0
2051,Marten de Roon,nl NED,"MF,DF",Atalanta,it Serie A,32-311,1991,20,35,1.75,6,0.3
2052,Unai Ropero,es ESP,MF,Alavés,es La Liga,22-075,2001,0.1,0,0,0,0
2053,Vitor Roque,br BRA,FW,Barcelona,es La Liga,18-340,2005,0.9,1,1.07,0,0
2054,Pablo Rosario,nl NED,"DF,MF",Nice,fr Ligue 1,27-027,1997,11.4,21,1.85,2,0.18
2055,Joe Rothwell,eng ENG,MF,Bournemouth,eng Premier League,29-023,1995,4.3,12,2.8,1,0.23
2056,Anthony Rouault,fr FRA,DF,Stuttgart,de Bundesliga,22-250,2001,6.6,8,1.21,1,0.15
2057,Jérôme Roussillon,fr FRA,DF,Union Berlin,de Bundesliga,31-028,1993,6.3,14,2.21,1,0.16
2058,Nicolò Rovella,it ITA,MF,Lazio,it Serie A,22-061,2001,11.9,16,1.35,2,0.17
2059,Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,29-344,1994,15.5,21,1.35,4,0.26
2060,Ruan,br BRA,DF,Sassuolo,it Serie A,24-241,1999,10.5,4,0.38,0,0
2061,Pelly Ruddock Mpanzu,cd COD,MF,Luton Town,eng Premier League,30-201,1993,8.4,12,1.43,0,0
2062,Antonio Rüdiger,de GER,DF,Real Madrid,es La Liga,30-337,1993,20,17,0.85,3,0.15
2063,Fabian Rüdlin,de GER,MF,Freiburg,de Bundesliga,27-021,1997,0.1,0,0,0,0
2064,Daniele Rugani,it ITA,DF,Juventus,it Serie A,29-189,1994,7.3,6,0.82,2,0.27
2065,Matteo Ruggeri,it ITA,"DF,MF",Atalanta,it Serie A,21-207,2002,17.4,46,2.63,9,0.52
2066,Mário Rui,pt POR,DF,Napoli,it Serie A,32-252,1991,8.7,30,3.47,1,0.12
2067,Aitor Ruibal,es ESP,"DF,FW",Betis,es La Liga,27-318,1996,7.8,29,3.73,2,0.26
2068,Fabián Ruiz Peña,es ESP,MF,Paris S-G,fr Ligue 1,27-306,1996,9,23,2.57,4,0.45
2069,Sergio Ruiz,es ESP,MF,Granada,es La Liga,29-049,1994,14.4,20,1.39,1,0.07
2070,Julian Ryerson,no NOR,DF,Dortmund,de Bundesliga,26-078,1997,9.9,18,1.81,4,0.4
2071,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,31-183,1992,18,0,0,0,0
2072,José Sá,pt POR,GK,Wolves,eng Premier League,31-017,1993,19.2,2,0.1,0,0
2073,Youssouf Sabaly,sn SEN,DF,Betis,es La Liga,30-335,1993,3,4,1.33,1,0.33
2074,Emmanuel Sabbi,us USA,"MF,FW",Le Havre,fr Ligue 1,26-041,1997,6.1,14,2.3,2,0.33
2075,Stefano Sabelli,it ITA,DF,Genoa,it Serie A,31-021,1993,17.1,39,2.28,0,0
2076,Marcel Sabitzer,at AUT,MF,Dortmund,de Bundesliga,29-323,1994,13.3,49,3.68,7,0.53
2077,Falaye Sacko,ml MLI,DF,Montpellier,fr Ligue 1,28-278,1995,13.9,26,1.87,4,0.29
2078,Umar Sadiq,ng NGA,FW,Real Sociedad,es La Liga,27-001,1997,8.6,20,2.32,2,0.23
2079,Alexis Saelemaekers,be BEL,FW,Bologna,it Serie A,24-221,1999,9.9,33,3.34,3,0.3
2080,Wesley Saïd,fr FRA,"FW,MF",Lens,fr Ligue 1,28-290,1995,6.4,21,3.25,2,0.31
2081,Théo Sainte-Luce,fr FRA,DF,Montpellier,fr Ligue 1,25-106,1998,3.8,3,0.78,0,0
2082,Bukayo Saka,eng ENG,FW,Arsenal,eng Premier League,22-151,2001,20.4,122,5.97,14,0.68
2083,Mamadou Sakho,fr FRA,DF,Montpellier,fr Ligue 1,33-355,1990,0.1,1,12.86,0,0
2084,Ibrahim Salah,ma MAR,"FW,MF",Rennes,fr Ligue 1,22-157,2001,3.2,7,2.21,0,0
2085,Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,31-233,1992,19.3,88,4.55,14,0.72
2086,Amine Salama,fr FRA,FW,Reims,fr Ligue 1,23-200,2000,3.5,8,2.3,0,0
2087,Kike Salas,es ESP,DF,Sevilla,es La Liga,21-286,2002,6.1,5,0.82,0,0
2088,William Saliba,fr FRA,DF,Arsenal,eng Premier League,22-316,2001,22,20,0.91,2,0.09
2089,Mohammed Salisu,gh GHA,DF,Monaco,fr Ligue 1,24-292,1999,4,2,0.5,0,0
2090,Roland Sallai,hu HUN,"MF,FW",Freiburg,de Bundesliga,26-257,1997,10.4,43,4.13,6,0.58
2091,Yoann Salmier,gf GUF,DF,Le Havre,fr Ligue 1,31-074,1992,12.1,10,0.83,1,0.08
2092,Salvi,es ESP,MF,Rayo Vallecano,es La Liga,32-310,1991,0.3,0,0,0,0
2093,Lazar Samardzic,rs SRB,MF,Udinese,it Serie A,21-344,2002,14.7,70,4.78,6,0.41
2094,Diadie Samassékou,ml MLI,MF,Hoffenheim,de Bundesliga,28-023,1996,0,0,0,0,0
2095,Mama Samba Baldé,gw GNB,"FW,MF",Lyon,fr Ligue 1,28-089,1995,4.5,9,2.01,0,0
2096,Brice Samba,fr FRA,GK,Lens,fr Ligue 1,29-284,1994,19,2,0.11,1,0.05
2097,Albert Sambi Lokonga,be BEL,MF,Luton Town,eng Premier League,24-104,1999,6.2,12,1.94,2,0.32
2098,Junior Sambia,fr FRA,"DF,MF",Salernitana,it Serie A,27-149,1996,3.3,7,2.14,1,0.31
2099,Fede San Emeterio,es ESP,MF,Cádiz,es La Liga,26-324,1997,1.7,2,1.18,0,0
2100,Antonio Sanabria,py PAR,"FW,MF",Torino,it Serie A,27-336,1996,13.5,21,1.56,1,0.07
2101,Marciano Sanca,gw GNB,"FW,MF",Almería,es La Liga,19-337,2004,0.5,1,2.14,0,0
2102,Oihan Sancet,es ESP,MF,Athletic Club,es La Liga,23-284,2000,16.9,74,4.38,9,0.53
2103,Renato Sanches,pt POR,MF,Roma,it Serie A,26-169,1997,1.3,5,3.78,1,0.76
2104,Ricard Sánchez,es ESP,DF,Granada,es La Liga,23-346,2000,16.9,25,1.47,0,0
2105,Alexis Sánchez,cl CHI,FW,Inter,it Serie A,35-046,1988,2,6,3.05,0,0
2106,Antonio Sánchez,es ESP,"MF,FW",Mallorca,es La Liga,27-033,1997,10.3,21,2.04,2,0.19
2107,Davinson Sánchez,co COL,DF,Tottenham,eng Premier League,27-236,1996,0.9,1,1.17,0,0
2108,Juanlu Sánchez,es ESP,DF,Sevilla,es La Liga,20-172,2003,10.2,28,2.75,3,0.29
2109,Manu Sánchez,es ESP,DF,Celta Vigo,es La Liga,23-163,2000,14.7,32,2.18,3,0.2
2110,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,26-077,1997,15.9,2,0.13,0,0
2111,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,eng Premier League,23-315,2000,0.9,4,4.62,1,1.15
2112,Jadon Sancho,eng ENG,"FW,MF",Dortmund,de Bundesliga,23-315,2000,2,12,5.9,4,1.97
2113,Alex Sandro,br BRA,DF,Juventus,it Serie A,33-008,1991,4.5,7,1.54,1,0.22
2114,Ibou Sané,sn SEN,"FW,MF",Metz,fr Ligue 1,18-312,2005,1,1,0.99,0,0
2115,Leroy Sané,de GER,FW,Bayern Munich,de Bundesliga,28-023,1996,18.4,116,6.31,16,0.87
2116,Sadibou Sané,sn SEN,DF,Metz,fr Ligue 1,19-238,2004,0.5,0,0,0,0
2117,Arouna Sangante,sn SEN,DF,Le Havre,fr Ligue 1,21-297,2002,16,24,1.5,2,0.13
2118,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,eng Premier League,26-063,1997,9.1,16,1.76,2,0.22
2119,Morgan Sanson,fr FRA,MF,Nice,fr Ligue 1,29-169,1994,15.3,49,3.2,2,0.13
2120,Nicola Sansone,it ITA,"FW,MF",Lecce,it Serie A,32-146,1991,4.6,21,4.58,3,0.65
2121,Baptiste Santamaria,fr FRA,MF,Rennes,fr Ligue 1,28-331,1995,10.3,22,2.13,2,0.19
2122,Jesús Santiago,es ESP,MF,Getafe,es La Liga,19-254,2004,0.9,1,1.08,0,0
2123,Andrey Santos,br BRA,MF,Nott'ham Forest,eng Premier League,19-276,2004,0.1,2,22.5,0,0
2124,Tiago santos,pt POR,DF,Lille,fr Ligue 1,21-195,2002,12.4,40,3.23,3,0.24
2125,Riccardo Saponara,it ITA,"FW,MF",Hellas Verona,it Serie A,32-044,1991,3.8,7,1.84,1,0.26
2126,Pablo Sarabia,es ESP,"FW,MF",Wolves,eng Premier League,31-268,1992,8.6,45,5.26,9,1.05
2127,Amin Sarr,se SWE,"FW,MF",Lyon,fr Ligue 1,22-329,2001,1.1,3,2.73,0,0
2128,Amin Sarr,se SWE,"FW,MF",Wolfsburg,de Bundesliga,22-329,2001,1.1,0,0,0,0
2129,Bouna Sarr,sn SEN,DF,Bayern Munich,de Bundesliga,32-003,1992,1.2,0,0,0,0
2130,Ismaila Sarr,sn SEN,"FW,MF",Marseille,fr Ligue 1,25-343,1998,9.2,23,2.5,1,0.11
2131,Mamadou Sarr,fr FRA,DF,Lyon,fr Ligue 1,18-158,2005,0.1,0,0,0,0
2132,Martin Satriano,uy URU,FW,Brest,fr Ligue 1,22-348,2001,8.9,28,3.14,2,0.22
2133,Téji Savanier,fr FRA,MF,Montpellier,fr Ligue 1,32-043,1991,18.4,109,5.91,8,0.43
2134,Stefan Savić,me MNE,DF,Atlético Madrid,es La Liga,33-026,1991,10,5,0.5,2,0.2
2135,Sávio,br BRA,"MF,FW",Girona,es La Liga,19-299,2004,19.2,64,3.34,17,0.89
2136,Saba Sazonov,ge GEO,DF,Torino,it Serie A,22-002,2002,1.8,1,0.55,0,0
2137,Joe Scally,us USA,DF,M'Gladbach,de Bundesliga,21-034,2002,15.9,16,1.01,3,0.19
2138,Giorgio Scalvini,it ITA,DF,Atalanta,it Serie A,20-054,2003,16.9,22,1.31,5,0.3
2139,Gianluca Scamacca,it ITA,FW,Atalanta,it Serie A,25-033,1999,8.5,20,2.36,4,0.47
2140,Kevin Schade,de GER,"FW,MF",Brentford,eng Premier League,22-068,2001,2.9,8,2.8,2,0.7
2141,András Schäfer,hu HUN,MF,Union Berlin,de Bundesliga,24-296,1999,3.3,9,2.7,1,0.3
2142,Fabian Schär,ch SUI,DF,Newcastle Utd,eng Premier League,32-045,1991,21.1,31,1.47,6,0.28
2143,Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,28-010,1996,4.3,16,3.74,1,0.23
2144,Stefan Schimmer,de GER,"MF,FW",Heidenheim,de Bundesliga,29-281,1994,1.1,3,2.6,1,0.87
2145,Xaver Schlager,at AUT,MF,RB Leipzig,de Bundesliga,26-128,1997,16.6,46,2.78,3,0.18
2146,Keven Schlotterbeck,de GER,DF,Bochum,de Bundesliga,26-281,1997,10,9,0.9,1,0.1
2147,Nico Schlotterbeck,de GER,DF,Dortmund,de Bundesliga,24-064,1999,18.5,19,1.03,2,0.11
2148,Jeffrey Schlupp,gh GHA,"FW,MF",Crystal Palace,eng Premier League,31-042,1992,13.1,22,1.68,1,0.08
2149,Romano Schmid,at AUT,MF,Werder Bremen,de Bundesliga,24-007,2000,15.5,63,4.06,11,0.71
2150,Kenneth Schmidt,de GER,DF,Freiburg,de Bundesliga,21-245,2002,0.8,3,3.97,0,0
2151,Niklas Schmidt,de GER,MF,Toulouse,fr Ligue 1,25-339,1998,9.8,34,3.46,2,0.2
2152,Benno Schmitz,de GER,DF,Köln,de Bundesliga,29-078,1994,6.7,11,1.64,2,0.3
2153,Fabian Schnellhardt,de GER,MF,Darmstadt 98,de Bundesliga,30-022,1994,2.3,6,2.6,0,0
2154,Jan Schöppner,de GER,MF,Heidenheim,de Bundesliga,24-236,1999,9.9,16,1.61,1,0.1
2155,Marcel Schuhen,de GER,GK,Darmstadt 98,de Bundesliga,31-021,1993,18,5,0.28,0,0
2156,Perr Schuurs,nl NED,DF,Torino,it Serie A,24-069,1999,8.6,2,0.23,0,0
2157,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,28-284,1995,19,2,0.11,0,0
2158,Alex Scott,eng ENG,MF,Bournemouth,eng Premier League,20-166,2003,4.9,17,3.44,3,0.61
2159,Simone Scuffet,it ITA,GK,Cagliari,it Serie A,27-248,1996,15,2,0.13,0,0
2160,Jérémy Sebas,mq MTQ,FW,Strasbourg,fr Ligue 1,20-295,2003,0.7,2,2.73,0,0
2161,Manuel Sebastián,es ESP,MF,Sevilla,es La Liga,19-191,2004,0.2,2,9,0,0
2162,Demba Seck,sn SEN,MF,Torino,it Serie A,22-358,2001,4.7,9,1.9,1,0.21
2163,Demba Seck,sn SEN,FW,Frosinone,it Serie A,22-358,2001,0.8,1,1.32,0,0
2164,Aleksandar Sedlar,rs SRB,DF,Alavés,es La Liga,32-052,1991,10.5,9,0.86,0,0
2165,Alidu Seidu,gh GHA,DF,Clermont Foot,fr Ligue 1,23-244,2000,12.6,13,1.03,1,0.08
2166,Nicolas Seiwald,at AUT,MF,RB Leipzig,de Bundesliga,22-275,2001,3.2,3,0.94,1,0.31
2167,Davie Selke,de GER,FW,Köln,de Bundesliga,29-014,1995,12,23,1.91,1,0.08
2168,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,31-342,1992,19,2,0.11,0,0
2169,Nélson Semedo,pt POR,"DF,MF",Wolves,eng Premier League,30-079,1993,20.2,27,1.34,1,0.05
2170,Vivaldo Semedo,pt POR,FW,Udinese,it Serie A,19-006,2005,0.1,0,0,0,0
2171,Antoine Semenyo,gh GHA,FW,Bournemouth,eng Premier League,24-027,2000,10.2,27,2.66,5,0.49
2172,Marvin Senaya,tg TOG,DF,Strasbourg,fr Ligue 1,23-006,2001,13.3,23,1.73,1,0.08
2173,Marcos Senesi,ar ARG,DF,Bournemouth,eng Premier League,26-269,1997,14.4,26,1.8,4,0.28
2174,Stefano Sensi,it ITA,MF,Inter,it Serie A,28-182,1995,0.3,3,8.71,0,0
2175,Suat Serdar,de GER,MF,Hellas Verona,it Serie A,26-298,1997,5.3,8,1.49,1,0.19
2176,Benjamin Šeško,si SVN,FW,RB Leipzig,de Bundesliga,20-248,2003,6.4,16,2.47,4,0.62
2177,Kevin Sessa,de GER,"MF,FW",Heidenheim,de Bundesliga,23-212,2000,3.7,12,3.25,1,0.27
2178,Aaron Seydel,de GER,FW,Darmstadt 98,de Bundesliga,27-361,1996,2.9,5,1.74,0,0
2179,Stephan El Shaarawy,it ITA,"FW,DF",Roma,it Serie A,31-099,1992,10.2,32,3.15,3,0.3
2180,Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,28-206,1995,8.7,19,2.18,0,0
2181,Eldor Shomurodov,uz UZB,"FW,MF",Cagliari,it Serie A,28-219,1995,3.5,12,3.4,3,0.85
2182,Steven Shpendi,al ALB,"FW,MF",Empoli,it Serie A,20-260,2003,4.4,10,2.27,1,0.23
2183,Sofiane Sidi Ali,fr FRA,MF,Marseille,fr Ligue 1,28-204,1995,0.1,0,0,0,0
2184,Vincent Sierro,ch SUI,MF,Toulouse,fr Ligue 1,28-118,1995,13.3,30,2.27,4,0.3
2185,Tim Siersleben,de GER,DF,Heidenheim,de Bundesliga,23-331,2000,9.5,7,0.74,1,0.11
2186,Kiliann Sildillia,fr FRA,DF,Freiburg,de Bundesliga,21-263,2002,14.5,22,1.51,2,0.14
2187,André Silva,pt POR,FW,Real Sociedad,es La Liga,28-089,1995,2.1,1,0.47,0,0
2188,Bernardo Silva,pt POR,"MF,FW",Manchester City,eng Premier League,29-177,1994,15.8,72,4.54,6,0.38
2189,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,26-187,1997,5.9,21,3.59,4,0.68
2190,Fábio Silva,pt POR,FW,Wolves,eng Premier League,21-199,2002,2.9,9,3.08,0,0
2191,Rui Silva,pt POR,GK,Betis,es La Liga,29-361,1994,12.5,2,0.16,0,0
2192,Thiago Silva,br BRA,DF,Chelsea,eng Premier League,39-134,1984,20.4,21,1.03,2,0.1
2193,Marco Silvestri,it ITA,GK,Udinese,it Serie A,32-338,1991,17,2,0.12,0,0
2194,Mohamed Simakan,fr FRA,DF,RB Leipzig,de Bundesliga,23-276,2000,17.5,25,1.43,2,0.11
2195,Giovanni Simeone,ar ARG,FW,Napoli,it Serie A,28-213,1995,4.4,15,3.43,1,0.23
2196,Giuliano Simeone,ar ARG,"FW,MF",Alavés,es La Liga,21-047,2002,0.3,0,0,0,0
2197,Jan-Carlo Simic,rs SRB,DF,Milan,it Serie A,18-277,2005,1.3,2,1.49,0,0
2198,Moses Simon,ng NGA,"FW,MF",Nantes,fr Ligue 1,28-206,1995,15.9,52,3.26,6,0.38
2199,Unai Simón,es ESP,GK,Athletic Club,es La Liga,26-237,1997,23,4,0.17,1,0.04
2200,Xavi Simons,nl NED,MF,RB Leipzig,de Bundesliga,20-288,2003,16,91,5.69,13,0.81
2201,Wilfried Singo,ci CIV,DF,Monaco,fr Ligue 1,23-040,2000,15,21,1.4,1,0.07
2202,Luis Sinisterra,co COL,"FW,MF",Bournemouth,eng Premier League,24-231,1999,5,21,4.25,2,0.4
2203,Daley Sinkgraven,nl NED,DF,Las Palmas,es La Liga,28-214,1995,2.7,0,0,0,0
2204,Jailson Siqueira,br BRA,"DF,MF",Celta Vigo,es La Liga,28-149,1995,1.4,0,0,0,0
2205,Ayanda Sishuba,be BEL,"MF,FW",Lens,fr Ligue 1,19-001,2005,0.5,7,14.65,0,0
2206,Ibrahima Sissoko,ml MLI,MF,Strasbourg,fr Ligue 1,26-099,1997,9.7,22,2.27,2,0.21
2207,Moussa Sissoko,fr FRA,MF,Nantes,fr Ligue 1,34-171,1989,6.8,12,1.77,1,0.15
2208,Antonio Sivera,es ESP,GK,Alavés,es La Liga,27-176,1996,22,11,0.5,0,0
2209,Tim Skarke,de GER,"FW,MF",Darmstadt 98,de Bundesliga,27-149,1996,14.7,43,2.93,0,0
2210,Ellyes Skhiri,tn TUN,MF,Eint Frankfurt,de Bundesliga,28-269,1995,13.5,29,2.16,2,0.15
2211,Oliver Skipp,eng ENG,"MF,FW",Tottenham,eng Premier League,23-140,2000,6.4,13,2.03,1,0.16
2212,Leo Skiri Østigård,no NOR,DF,Napoli,it Serie A,24-067,1999,9.7,7,0.72,0,0
2213,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,32-274,1991,19,1,0.05,0,0
2214,Robert Skov,dk DEN,"DF,FW",Hoffenheim,de Bundesliga,27-259,1996,9.9,29,2.92,5,0.5
2215,Milan Škriniar,sk SVK,DF,Paris S-G,fr Ligue 1,28-357,1995,13.4,5,0.37,1,0.07
2216,Naatan Skyttä,fi FIN,"MF,FW",Toulouse,fr Ligue 1,21-272,2002,0.9,6,6.51,0,0
2217,Chris Smalling,eng ENG,DF,Roma,it Serie A,34-073,1989,2.7,1,0.37,0,0
2218,Adam Smith,eng ENG,DF,Bournemouth,eng Premier League,32-280,1991,9.3,14,1.51,3,0.32
2219,Emile Smith Rowe,eng ENG,MF,Arsenal,eng Premier League,23-190,2000,2.4,5,2.11,2,0.85
2220,Hrvoje Smolčić,hr CRO,DF,Eint Frankfurt,de Bundesliga,23-170,2000,2.8,1,0.36,0,0
2221,Danilo Soares,br BRA,DF,Bochum,de Bundesliga,32-097,1991,3.9,6,1.54,0,0
2222,Eduard Sobol,ua UKR,DF,Strasbourg,fr Ligue 1,28-289,1995,0.3,1,3.6,0,0
2223,Rubén Sobrino,es ESP,"MF,FW",Cádiz,es La Liga,31-247,1992,8,9,1.12,0,0
2224,Andrea Sodero,it ITA,MF,Empoli,it Serie A,19-180,2004,0.1,0,0,0,0
2225,Emran Soglo,eng ENG,"MF,DF",Marseille,fr Ligue 1,18-207,2005,1.2,2,1.62,1,0.81
2226,Alex Sola,es ESP,"FW,MF",Alavés,es La Liga,24-239,1999,7.4,36,4.86,0,0
2227,Alex Sola,es ESP,"DF,MF",Real Sociedad,es La Liga,24-239,1999,0.3,1,3,0,0
2228,Dominic Solanke,eng ENG,FW,Bournemouth,eng Premier League,26-142,1997,20.7,33,1.59,2,0.1
2229,Ola Solbakken,no NOR,FW,Roma,it Serie A,25-149,1998,0.3,1,3.91,0,0
2230,Carlos Soler,es ESP,"DF,MF",Paris S-G,fr Ligue 1,27-032,1997,6.8,14,2.06,2,0.29
2231,Jhon Solis,co COL,MF,Girona,es La Liga,19-123,2004,1.5,6,4.09,0,0
2232,Manor Solomon,il ISR,FW,Tottenham,eng Premier League,24-194,1999,2.2,19,8.59,2,0.9
2233,Yann Sommer,ch SUI,GK,Inter,it Serie A,35-048,1988,21,3,0.14,1,0.05
2234,Brandon Soppy,fr FRA,DF,Torino,it Serie A,21-347,2002,2,3,1.52,0,0
2235,David Soria,es ESP,GK,Getafe,es La Liga,30-305,1993,22,4,0.18,0,0
2236,Alberto Soro,es ESP,MF,Granada,es La Liga,24-331,1999,0.1,0,0,0,0
2237,Alessandro Sorrentino,it ITA,GK,Monza,it Serie A,21-306,2002,3.6,0,0,0,0
2238,Borna Sosa,hr CRO,"FW,DF",Stuttgart,de Bundesliga,26-013,1998,0.5,5,9.78,0,0
2239,Hugo Sotelo,es ESP,MF,Celta Vigo,es La Liga,20-046,2003,3.4,10,2.92,0,0
2240,Florian Sotoca,fr FRA,"MF,DF",Lens,fr Ligue 1,33-101,1990,15.3,57,3.72,8,0.52
2241,Riccardo Sottil,it ITA,FW,Fiorentina,it Serie A,24-245,1999,5.9,24,4.08,1,0.17
2242,Tomáš Souček,cz CZE,MF,West Ham,eng Premier League,28-341,1995,19,21,1.11,2,0.11
2243,Matìas Soulé,ar ARG,"FW,MF",Frosinone,it Serie A,20-294,2003,19.3,105,5.45,7,0.36
2244,Boubakary Soumaré,fr FRA,MF,Sevilla,es La Liga,24-341,1999,10.4,15,1.44,0,0
2245,Issa Soumaré,sn SEN,"FW,MF",Le Havre,fr Ligue 1,23-116,2000,2.6,7,2.66,0,0
2246,Vinicius Souza,br BRA,MF,Sheffield Utd,eng Premier League,24-231,1999,18.7,16,0.86,2,0.11
2247,Djibril Sow,ch SUI,MF,Sevilla,es La Liga,26-362,1997,12.1,35,2.88,3,0.25
2248,Saidou Sow,gn GUI,DF,Strasbourg,fr Ligue 1,21-214,2002,0.3,0,0,0,0
2249,Çağlar Söyüncü,tr TUR,DF,Atlético Madrid,es La Liga,27-256,1996,1.3,2,1.58,1,0.79
2250,Djed Spence,eng ENG,"MF,DF",Genoa,it Serie A,23-178,2000,1.5,0,0,0,0
2251,Stijn Spierings,nl NED,MF,Toulouse,fr Ligue 1,27-328,1996,10.5,23,2.2,1,0.1
2252,Stijn Spierings,nl NED,MF,Lens,fr Ligue 1,27-328,1996,1.3,1,0.76,0,0
2253,Leonardo Spinazzola,it ITA,DF,Roma,it Serie A,30-315,1993,11.5,35,3.04,4,0.35
2254,Marco Sportiello,it ITA,GK,Milan,it Serie A,31-269,1992,2,2,1,1,0.5
2255,Anton Stach,de GER,MF,Hoffenheim,de Bundesliga,25-080,1998,14.2,38,2.68,3,0.21
2256,Anton Stach,de GER,MF,Mainz 05,de Bundesliga,25-080,1998,1.9,7,3.71,0,0
2257,Jens Stage,dk DEN,MF,Werder Bremen,de Bundesliga,27-087,1996,17.8,34,1.91,3,0.17
2258,Josip Stanišić,hr CRO,DF,Leverkusen,de Bundesliga,23-307,2000,5.8,11,1.88,0,0
