Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,shortCmp,shortAtt,shortCmp%,longCmp,longAtt,longCmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
180,Mamady Bangré,bf BFA,"FW,MF",Toulouse,fr Ligue 1,22-233,2001,1.1,59,74,79.7,791,234,27,32,84.4,2,4,50,1,0.7,0.6,0.3,6,2,5,2,9,Matches
181,Mattia Bani,it ITA,DF,Genoa,it Serie A,30-055,1993,15.7,547,664,82.4,11034,4277,173,192,90.1,66,122,54.1,0,0,0.1,0,1,29,0,0,24,Matches
182,Léo Baptistão,br BRA,FW,Almería,es La Liga,31-161,1992,12,184,315,58.4,2616,779,105,162,64.8,11,25,44,0,0.9,0.4,-0.9,11,11,5,1,29,Matches
183,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,25-301,1998,2.3,59,81,72.8,1014,272,31,36,86.1,6,14,42.9,0,0.1,0.3,-0.1,2,7,1,0,4,Matches
184,Antonín Barák,cz CZE,MF,Fiorentina,it Serie A,29-062,1994,2.6,101,128,78.9,1610,325,55,67,82.1,9,12,75,0,0,0.1,0,1,13,1,0,9,Matches
185,Francisco Barbosa,es ESP,GK,Betis,es La Liga,24-272,1999,2.5,54,84,64.3,1555,1025,7,7,100,18,44,40.9,0,0,0,0,0,1,0,0,0,Matches
186,Bradley Barcola,fr FRA,FW,Lyon,fr Ligue 1,21-154,2002,3,70,90,77.8,946,275,50,60,83.3,2,4,50,0,0.3,0.4,-0.3,4,5,3,0,9,Matches
187,Bradley Barcola,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,21-154,2002,8.7,283,361,78.4,3932,1015,193,235,82.1,6,12,50,3,2.5,2,0.5,19,20,14,0,41,Matches
188,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,23-089,2000,17.7,919,1098,83.7,14620,4370,470,524,89.7,51,104,49,2,2.2,1.8,-0.2,12,50,18,10,70,Matches
189,Nicolò Barella,it ITA,MF,Inter,it Serie A,26-361,1997,17.1,948,1119,84.7,15474,5377,503,558,90.1,81,126,64.3,3,2.1,2.8,0.9,23,122,47,6,173,Matches
190,Kike Barja,es ESP,"FW,MF",Osasuna,es La Liga,26-308,1997,2.9,73,100,73,1096,196,38,42,90.5,8,16,50,0,0.5,0.4,-0.5,5,0,6,3,5,Matches
191,Ross Barkley,eng ENG,MF,Luton Town,eng Premier League,30-060,1993,13.8,519,644,80.6,9102,2904,239,272,87.9,59,98,60.2,2,2.5,1.3,-0.5,23,64,11,0,78,Matches
192,Aymen Barkok,ma MAR,"MF,FW",Mainz 05,de Bundesliga,25-258,1998,3.6,118,184,64.1,1842,639,64,90,71.1,9,20,45,0,0.3,0.6,-0.3,5,11,4,1,16,Matches
193,Harvey Barnes,eng ENG,FW,Newcastle Utd,eng Premier League,26-056,1997,2.1,53,71,74.6,644,120,36,40,90,1,4,25,1,0.9,0.6,0.1,2,2,3,0,5,Matches
194,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,24-031,2000,15,391,521,75,6278,1795,190,237,80.2,29,46,63,0,0.5,0.6,-0.5,10,43,8,2,51,Matches
195,Enzo Barrenechea,ar ARG,MF,Frosinone,it Serie A,22-257,2001,19,1042,1219,85.5,17260,4628,492,537,91.6,85,130,65.4,1,1.2,0.9,-0.2,13,100,4,0,92,Matches
196,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,es La Liga,22-038,2001,9.9,221,333,66.4,3359,799,133,163,81.6,14,28,50,1,1,0.5,0,9,8,8,3,19,Matches
